year;month;caudal
1909;7;31.00450
1909;8;29.50450
1909;9;32.00450
1909;10;35.80450
1909;11;43.80450
1909;12;42.50450
1910;1;39.50073
1910;2;40.00000
1910;3;31.00000
1910;4;30.00000
1910;5;31.50000
1910;6;29.00000
1910;7;28.00222
1910;8;26.50000
1910;9;28.00000
1910;10;30.20000
1910;11;25.50000
1910;12;24.00000
1911;1;35.50000
1911;2;43.50000
1911;3;31.50000
1911;4;29.50000
1911;5;30.00000
1911;6;28.00000
1911;7;27.49550
1911;8;27.59865
1911;9;24.50000
1911;10;20.30000
1911;11;28.00000
1911;12;28.20000
1912;1;29.20000
1912;2;30.00000
1912;3;27.50000
1912;4;23.00000
1912;5;21.00000
1912;6;30.00000
1912;7;17.50080
1912;8;18.50000
1912;9;24.50000
1912;10;54.50000
1912;11;54.60000
1912;12;132.00000
1913;1;125.00000
1913;2;92.50000
1913;3;56.50000
1913;4;44.50000
1913;5;42.50000
1913;6;37.00000
1913;7;29.19550
1913;8;35.89550
1913;9;26.79550
1913;10;28.99550
1913;11;35.79550
1913;12;40.79550
1914;1;37.59633
1914;2;37.00000
1914;3;37.20000
1914;4;29.20000
1914;5;30.00000
1914;6;27.40000
1914;7;31.19584
1914;8;31.20000
1914;9;30.00000
1914;10;45.30000
1914;11;80.40000
1914;12;439.00000
1915;1;745.00000
1915;2;502.00000
1915;3;228.00000
1915;4;135.00000
1915;5;120.00000
1915;6;112.00000
1915;7;101.95640
1915;8;93.00000
1915;9;112.00000
1915;10;114.00000
1915;11;190.00000
1915;12;318.00000
1916;1;276.00000
1916;2;173.00000
1916;3;120.00000
1916;4;86.80000
1916;5;71.50000
1916;6;63.80000
1916;7;57.99550
1916;8;60.99550
1916;9;52.39550
1916;10;77.99550
1916;11;66.99550
1916;12;46.49916
1917;1;86.80000
1917;2;62.50000
1917;3;39.00000
1917;4;31.80000
1917;5;34.50000
1917;6;32.20000
1917;7;28.00343
1917;8;30.00000
1917;9;32.50000
1917;10;31.60000
1917;11;27.10000
1917;12;24.50000
1918;1;40.00000
1918;2;46.60000
1918;3;42.00000
1918;4;32.50000
1918;5;37.00000
1918;6;36.10000
1918;7;32.49550
1918;8;30.99550
1918;9;31.19610
1918;10;40.00000
1918;11;64.50000
1918;12;114.00000
1919;1;130.00000
1919;2;67.00000
1919;3;54.00000
1919;4;48.00000
1919;5;57.30000
1919;6;61.20000
1919;7;60.00450
1919;8;66.50450
1919;9;58.00450
1919;10;123.04500
1919;11;228.01660
1919;12;774.00000
1920;1;570.00000
1920;2;364.00000
1920;3;176.00000
1920;4;102.00000
1920;5;85.00000
1920;6;79.50000
1920;7;82.50450
1920;8;82.50450
1920;9;78.00450
1920;10;77.00450
1920;11;82.00450
1920;12;133.03130
1921;1;146.00000
1921;2;142.00000
1921;3;107.00000
1921;4;63.00000
1921;5;88.20000
1921;6;80.00000
1921;7;65.79550
1921;8;63.99550
1921;9;76.49550
1921;10;115.98970
1921;11;231.00000
1921;12;193.00000
1922;1;209.00000
1922;2;126.00000
1922;3;109.00000
1922;4;78.50000
1922;5;74.50000
1922;6;70.00000
1922;7;71.99550
1922;8;70.79550
1922;9;67.99550
1922;10;62.49652
1922;11;144.00000
1922;12;120.00000
1923;1;106.00000
1923;2;86.00000
1923;3;53.50000
1923;4;46.50000
1923;5;45.50000
1923;6;45.00000
1923;7;42.00450
1923;8;42.50450
1923;9;40.50142
1923;10;40.60000
1923;11;77.50000
1923;12;101.00000
1924;1;94.00000
1924;2;61.50000
1924;3;43.80000
1924;4;36.00000
1924;5;36.20000
1924;6;32.00000
1924;7;30.00450
1924;8;30.00292
1924;9;25.00000
1924;10;23.50000
